variant,best_val_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_brier,test_roc_auc,test_average_precision,main_model_test_f1,delta_f1_vs_main
full_semantic_multipath_repeat,0.9968138370505234,0.9965552389841332,0.99651257529522,0.9979611478357774,0.994949813774383,0.9964532057077466,0.9931090712839132,0.0027460558257791,0.9998538980177086,0.999862310083814,0.9967831027574308,-0.0003298970496841136
no_reconstruction_loss,0.9966886580217892,0.9966105025298424,0.99657878439216,0.997608533360327,0.9954169560002524,0.9965115397254732,0.9932178240729782,0.0026388713139531,0.999868018673702,0.9998734093939567,0.9967831027574308,-0.0002715630319575224
single_path_attention,0.9938348967630044,0.993669253819325,0.9935885371820772,0.9963302519301096,0.9906319045514804,0.9934729071836006,0.9873424441213952,0.0049839386585828,0.9996550169376895,0.9996646155334162,0.9967831027574308,-0.003310195573830166
plain_mlp_baseline,0.9907025710625452,0.9910411652011591,0.9909111803599012,0.9953867720147828,0.9861498642762452,0.9907467892817504,0.9821046324438114,0.0067370140787684,0.9994731823718448,0.999506683369106,0.9967831027574308,-0.006036313475680344
