variant,best_val_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_brier,test_roc_auc,test_average_precision
full_semantic_multipath_repeat,0.9968138370505234,0.9965552389841332,0.9965125752952201,0.9979611478357774,0.994949813774383,0.9964532057077466,0.9931090712839132,0.00274605582577915,0.9998538980177086,0.9998623100838139
no_reconstruction_loss,0.9966886580217892,0.9966105025298423,0.9965787843921599,0.997608533360327,0.9954169560002525,0.9965115397254733,0.9932178240729782,0.002638871313953195,0.999868018673702,0.9998734093939567
single_path_attention,0.9938348967630043,0.993669253819325,0.9935885371820772,0.9963302519301097,0.9906319045514803,0.9934729071836006,0.9873424441213952,0.004983938658582848,0.9996550169376895,0.9996646155334162
plain_mlp_baseline,0.9907025710625452,0.9910411652011593,0.9909111803599011,0.9953867720147828,0.9861498642762452,0.9907467892817504,0.9821046324438114,0.006737014078768465,0.9994731823718449,0.9995066833691059
