variant,epoch,seconds,train_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_brier,val_roc_auc,val_average_precision
full_semantic_multipath_repeat,1,10.524114670000017,0.1415207198155778,0.9832612860441126,0.982921830005603,0.9949777363570467,0.9704820341893291,0.9825772392018509,0.966753727372014,0.012999425640340264,0.9979800581742111,0.9981360153195707
full_semantic_multipath_repeat,2,10.493963970999857,0.050111335037010055,0.9872771036989734,0.9871408541489768,0.9916124920331422,0.9821478170845643,0.9868574618155985,0.9745708754650627,0.01003157139964696,0.9987799550104421,0.9988689650115378
full_semantic_multipath_repeat,3,10.68278108200002,0.039872282071571265,0.9895122071032078,0.9893514645106115,0.9949165964186272,0.9834608489255865,0.9891555555555556,0.9790639001681302,0.008302436015037022,0.999208086160704,0.9992486133780318
full_semantic_multipath_repeat,4,10.44145140799992,0.03207285289785692,0.9915016947487351,0.99139072750727,0.9951642869868418,0.9873241926116708,0.9912287372930768,0.9830160829012415,0.006586300937864426,0.9994524659034099,0.9994693171064691
full_semantic_multipath_repeat,5,10.417205749999994,0.02777230820751616,0.992815739057818,0.9927174888593558,0.9960840156639373,0.9891169860869126,0.9925882755387754,0.9856409534793524,0.005732749492918893,0.9995753806922227,0.9995899361283801
full_semantic_multipath_repeat,6,10.439872356000024,0.02427877646737865,0.9933069705752321,0.9932131108363478,0.9964411002084499,0.9897735020074236,0.9930961097528535,0.9866225223778163,0.005309574487790722,0.9996315481361719,0.9996389497290857
full_semantic_multipath_repeat,7,10.662351537999939,0.022348775129233087,0.993061354816525,0.9930176170639442,0.9943020664505673,0.9914147918087014,0.9928563300501954,0.9861152374108326,0.005459358767040236,0.9996454865345488,0.999654454265701
full_semantic_multipath_repeat,8,10.47709864699982,0.02231826967825847,0.9939824139116765,0.9939075026753499,0.9964460690985708,0.9911622856854279,0.993797154286293,0.9879673281448615,0.004610986676191731,0.9997042083201778,0.999714679989553
full_semantic_multipath_repeat,9,10.57656239400012,0.019333532958158425,0.9941911873065776,0.9940932913379277,0.997533312989523,0.9905057697649168,0.9940071205037566,0.9883947919439973,0.004446793865627833,0.9997447997737375,0.9997501244643887
full_semantic_multipath_repeat,10,10.402422358999956,0.017815531883388757,0.9947806651274745,0.9947174158393544,0.9968548673464211,0.992399565689468,0.9946222272836553,0.9895616786750417,0.004130367054804675,0.9997779693886208,0.9997806941851427
full_semantic_multipath_repeat,11,10.445540365999932,0.016594730889690774,0.9951245271896645,0.9950622048759219,0.9971847418078523,0.9927783248743782,0.9949766547304223,0.9902498059345676,0.0038567916558818155,0.9998096176276985,0.9998109746849391
full_semantic_multipath_repeat,12,10.663239287000124,0.015822601025657995,0.9954929508277252,0.9954402933272926,0.9972120843471208,0.9935105926318714,0.9953578972665984,0.9909847651715695,0.003575607993496434,0.9998213750855603,0.9998246952875582
full_semantic_multipath_repeat,13,10.446380331,0.015532897925004363,0.9956403202829494,0.9955689920609085,0.9980710659898477,0.9929550791606696,0.995506499753174,0.9912852983471514,0.0034311327010658945,0.9998354825256933,0.9998382942720923
full_semantic_multipath_repeat,14,10.434117460999914,0.014179175839360271,0.9954683892518544,0.995409676846648,0.9974136619504032,0.9932580865085978,0.9953315367973583,0.9909371724053887,0.00347336012941097,0.9998432795766965,0.9998447437988933
full_semantic_multipath_repeat,15,10.636831042000267,0.01403174650123609,0.995038561674117,0.9949557179272057,0.9978662331394315,0.9919198040552484,0.994884133215145,0.9900848203587406,0.003940502098463205,0.9998211861210259,0.999823101391629
full_semantic_multipath_repeat,16,10.421461761000046,0.013301481479512794,0.9961806749521049,0.9961419446041411,0.997417459995949,0.9947226220235841,0.9960682183087017,0.9923585416785269,0.003067252363774422,0.9998610214145869,0.9998620963584983
full_semantic_multipath_repeat,17,10.400949486999707,0.012738365423865616,0.996045586284816,0.9959849564307702,0.9980979432426264,0.9937630987551448,0.9959258040843182,0.9920932341469648,0.003175184791036448,0.9998583399897297,0.9998610166218367
full_semantic_multipath_repeat,18,10.591331792999881,0.013054499502426811,0.9964385714987474,0.9963896369615475,0.9980742430001267,0.9945963689619474,0.9963322709566449,0.9928768883050985,0.0028699980764786285,0.9998690019966396,0.9998709116929247
