epoch,seconds,train_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_brier,val_roc_auc,val_average_precision
1,10.581293025000036,0.1283208976100598,0.9831998821044359,0.9828868742834498,0.9939029116180536,0.971416306845441,0.9825309666709232,0.9665892322614583,0.01286566778448955,0.9981836079937372,0.9982469221708951
2,10.39126262100001,0.04786961219672646,0.988271847521737,0.988180943020265,0.9909802327354033,0.9848496326035906,0.9879054216638594,0.9765400709394907,0.009335585751787556,0.9989533462713668,0.9989976594692316
3,10.616032848000032,0.03646992884044136,0.9901016849241048,0.9899353449996595,0.9957576222239259,0.9838396081104966,0.9897627394198039,0.9802488924574339,0.007799233880967808,0.9992796904374542,0.9992876770544875
4,10.573315712000067,0.030463482532650233,0.9914525715969936,0.9913697385583597,0.9940571428571429,0.9883342171047648,0.9911874192813188,0.9829052277380397,0.006657611797976191,0.9994140152429479,0.9994188744787543
5,10.396081974999902,0.02752769846203072,0.9927174927543351,0.9926238644789827,0.9958057956278596,0.9891927379238946,0.9924882510165562,0.9854421584287704,0.005768965409660424,0.9995255266560058,0.9995381741375465
6,10.579965958999992,0.024597247995968376,0.9933806553028443,0.9932855090056316,0.9965678547821223,0.989798752619751,0.9931717698924458,0.9867706325278951,0.005259422394724754,0.9995928116140259,0.999615232442738
7,10.513756101000013,0.021730386199695723,0.9938473252443877,0.9937471608342808,0.9972531664886312,0.9900765093553519,0.9936518797278291,0.9877073710605428,0.0047985691526724016,0.9996624420264127,0.9996797491538987
8,10.436840970999924,0.02108452010766736,0.9930245124527189,0.9930253510261491,0.992604931728124,0.993056081609979,0.9928304554175502,0.9860388939118617,0.0054194261502084895,0.9996593416194886,0.9996735242745531
9,10.634320852999963,0.019282550790480205,0.9941175025789655,0.994049063977309,0.9963462904699076,0.9915410448703381,0.993937859900019,0.9882356231036781,0.004579221849233867,0.9997027153192385,0.9997146565734261
10,10.591931465000016,0.017816504310550433,0.9947806651274745,0.9947080255697993,0.9972079801005127,0.9920460571168851,0.9946203212617561,0.9895646811159949,0.004205820636532402,0.999745868660985,0.9997504506785613
11,10.391321473999938,0.018745902054277914,0.9936631134253574,0.9936543668715347,0.993634917026597,0.9933338383455799,0.9934843548753693,0.9873167234092495,0.0048556011970925465,0.9997211266832277,0.9997256319760061
12,10.482410123000022,0.01666057842916676,0.995075404037923,0.994998959714014,0.9976641446199157,0.9921975607908492,0.9949233437567256,0.9901561228513386,0.0038973733034786367,0.9997840651550922,0.9997910076128556
13,10.525134869999874,0.015273019811138511,0.9955543547674018,0.9954718953817475,0.9983996748545736,0.9924500669141226,0.9954159807521844,0.9911173560863678,0.003565125733194841,0.9998195865634082,0.9998220841516097
14,10.328279761999966,0.014565454127400049,0.9956526010708847,0.9955869832353894,0.9978689397975493,0.9931823346716158,0.9955201214882309,0.9913079999737142,0.0034149415503804638,0.9998266265488319,0.9998319920116394
15,10.553376817999833,0.015424075270337718,0.9959227784054625,0.9958546789678957,0.9982491309091832,0.9933590889579073,0.9957981066167164,0.9918496978543274,0.0032771039372134175,0.9998206406595019,0.9998325103705863
16,10.55222766099996,0.013523302253867898,0.9958982168295918,0.9958247332207908,0.9984261163150814,0.9931318334469611,0.9957719378196365,0.9918023805163214,0.0033081785843241387,0.999836107678331,0.9998421297677126
17,10.376896410999962,0.013145334140530655,0.9962912020435231,0.9962441698894402,0.9978465202300423,0.9945206171249653,0.9961807926752156,0.9925814447521975,0.0029851371956387614,0.9998609803615891,0.9998642876793358
18,10.546557217999862,0.012320770379821105,0.9962420788917817,0.9962037296678802,0.9974681621388967,0.9947983738605661,0.9961314791403287,0.9924813914896742,0.0029524279206759882,0.9998611171042954,0.9998650369886708
19,10.554303763000007,0.012001984074179616,0.996217517315911,0.9961650643847599,0.997972373590166,0.9942428603893645,0.9961041260846467,0.99243521388104,0.0029704120791697514,0.9998522110186275,0.9998607019185178
20,10.614533240000128,0.01159683048525559,0.9961069902244928,0.9960407048926525,0.9983762114984523,0.9936115950811807,0.9959882050697951,0.9922179001245282,0.003105279185984307,0.9998592980942549,0.9998647508413252
21,10.667829978999862,0.013491126336157322,0.9961315518003635,0.9960994921819621,0.9971150926207106,0.9949246269222028,0.9960186554430668,0.9922591553927556,0.0030845690086516507,0.9998365806933879,0.9998429504165636
22,10.48150164399999,0.011460110262435461,0.9966227833177776,0.9965696262844476,0.9984284700395417,0.9946216195742746,0.9965214091455316,0.9932466913990288,0.002769917121876566,0.9998780599180278,0.9998809130458093
23,10.707204671,0.010816483658605389,0.9962666404676525,0.996214894875875,0.9979978204120942,0.9943186122263465,0.9961548191247154,0.9925333774795095,0.0029659656004959603,0.9998717335303031,0.9998757895977747
24,10.628505362999931,0.011840025927605373,0.9966473448936484,0.9966069501004885,0.9979741706761205,0.9951266318208216,0.9965483671121338,0.993293016502264,0.002751929035798007,0.9998652574198803,0.9998715238123562
25,10.650599303000035,0.010084560154271976,0.9964631330746181,0.9964122046397162,0.9981753212194937,0.9945458677372926,0.9963572892160583,0.992926532064722,0.002856469897427763,0.9998748058642217,0.9998772040150915
26,10.535132546999876,0.00998186282813549,0.9967333104091959,0.9966785589051431,0.9986057241361828,0.9946721207989294,0.9966350411132194,0.993468373128911,0.002634645772978703,0.9998726780511157,0.9998764758317475
27,10.727507452000054,0.009683133508743984,0.9966227833177776,0.9965736506856855,0.9982769106020677,0.9947731232482387,0.9965219370913276,0.993245701340805,0.002698907250430451,0.9998673260683714,0.9998763173434874
28,10.573565988000155,0.009320869429835251,0.9966964680453898,0.9966507439897467,0.9982266808532199,0.9949751281468575,0.9965982523363304,0.9933924351176279,0.0026379047433801313,0.999875688503677,0.999878824312091
29,10.809429881999904,0.009005353040993213,0.9967824335609373,0.9967464992018286,0.9979495228210515,0.9954296391687498,0.996687988268905,0.9935626415941627,0.0025781674902274373,0.999890494146635,0.999892141482296
30,10.762673875000019,0.008913486790178077,0.9965982217419069,0.9965644976783097,0.9976714755758036,0.9953286367194405,0.9964986791045719,0.9931935441180855,0.0027069350955450616,0.9998968745673493,0.9998973381820501
31,10.510792789000106,0.008801074415844466,0.9968315567126786,0.99680303702834,0.9977229601518026,0.9957578971290054,0.9967394601152563,0.9936598859069526,0.0025780879004298858,0.9998913511279666,0.9998929606469887
32,10.600563297000008,0.008640554989688099,0.9966964680453898,0.9966554391245244,0.9980500405186385,0.995151882433149,0.9965988544840753,0.9933914718510758,0.002631259682998628,0.9998789081454114,0.9998857525172802
33,10.457750235000049,0.009890137546296631,0.9969175222282262,0.9968833653690101,0.9980257163106206,0.9956316440673686,0.9968272427348914,0.9938327671317682,0.002540678419650909,0.9998899332902367,0.9998908012242391
34,10.614006482999912,0.008122597626476947,0.9969543645920322,0.9969145339521046,0.998278088678433,0.9954548897810772,0.9968644903532505,0.9939074989392667,0.0025675556387852504,0.9998921323423682,0.9998934752067223
35,10.629914494000104,0.008086699867687588,0.996843837500614,0.9968123086668055,0.9978489725680737,0.995656894679696,0.9967517284091053,0.9936848748186914,0.0025923924892396794,0.9998955252519028,0.9998969572308807
36,10.521586028999991,0.00782420463926558,0.9969912069558383,0.9969624708736904,0.9979000101204332,0.9959094008029695,0.9969037117545212,0.9939794847466242,0.0025041106893447062,0.9998773297180132,0.9998821157766323
37,10.639239825000004,0.00791567735640066,0.9971017340472564,0.9970700620273066,0.9981272934328735,0.9959094008029695,0.9970171136783033,0.9942011322529205,0.0024285471419130925,0.9998915083971719,0.9998948007539544
38,10.667452830000002,0.00800219737325928,0.997015768531709,0.9969749775487644,0.9983792544570502,0.9954801403934045,0.9969275897384026,0.994030600551908,0.002519052614598713,0.999877594751338,0.9998794126801422
39,10.43333613699997,0.007343901191571993,0.9967947143488727,0.9967544293732147,0.9981261078754115,0.9952781354947857,0.996700087239073,0.9935879985431882,0.0025814023100934596,0.999901312215309,0.9999023143426085
40,10.62482653799998,0.007458497184727873,0.9969666453799676,0.9969331958601251,0.99805112629714,0.9957073959043506,0.9968778835336797,0.9939309884090475,0.0025219669807978492,0.9998896398820456,0.9998913264967363
41,10.69717738899999,0.007288849905931524,0.9969666453799676,0.9969432568632198,0.9976732422862924,0.9960861550892609,0.9968790670052942,0.9939297051809411,0.0025049172742878235,0.9999003058131392,0.9999019848138171
42,10.516944178999893,0.007251011801417917,0.9971385764110625,0.997105255011639,0.9982282966337636,0.9958841501906421,0.9970548456005967,0.9942751290781631,0.0024914243315324663,0.9998909079970772,0.9998940994946937
43,10.608748642999899,0.006907417417304325,0.9968806798644201,0.9968448187169794,0.9980507809533453,0.9955306416180593,0.9967891183980988,0.993759294408728,0.0025171673828300097,0.9998922908190147,0.9998941132516158
